face_id,weight_input_value,rank_by_input_value,included_in_morph,weight,n_manifest_unstable_triangles,n_runtime_skipped_triangles,covered_pixel_fraction,aligned_image_path,aligned_landmark_path
BM-222,0.6169593118830632,3,True,0.05803043818708371,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-222.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-222.npy
BM-223,0.306110801749466,9,True,0.04252614907515038,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-223.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-223.npy
BM-224,-0.452853880799563,18,True,0.0199086533024712,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-224.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-224.npy
BM-225,0.1545860784815906,13,True,0.036546829411165466,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-225.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-225.npy
BM-226,-0.9439555221937392,23,True,0.012183137641496537,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-226.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-226.npy
BM-227,0.6169593118830631,4,True,0.05803043818708371,3,3,0.9998321533203125,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-227.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-227.npy
BM-228,0.4598094323024643,6,True,0.04959141775553886,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-228.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-228.npy
BM-229,0.1545860784815906,14,True,0.036546829411165466,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-229.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-229.npy
BM-231,-0.1465993586992877,17,True,0.02704248096515214,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-231.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-231.npy
BM-236,1.7378062151787737,1,True,0.17800552204110448,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-236.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-236.npy
BM-237,-0.4528538807995631,19,True,0.0199086533024712,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-237.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-237.npy
