face_id,gender_self,ethnicity_self,age_self,asian_prob,chinese_asian_prob,japanese_asian_prob,indian_asian_prob,other_asian_prob,middle_eastern_prob,black_prob,latino_prob,multi_prob,other_prob,white_prob,ethnicity_perceived,ethnicity_perceived_probability,ethnicity_perceived_available,face_id_normalised,image_filename,image_stem,image_path,image_model_id,image_exists,selected_for_study
BM-207,M,B,,0.0,,,,,,0.964285714,0.035714286,0.0,0.0,0.0,Black,0.964285714,True,bm-207,CFD-BM-207-024-N.jpg,CFD-BM-207-024-N,data/raw/cfd/images/CFD-BM-207-024-N.jpg,BM-207,True,True
BM-210,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-210,CFD-BM-210-148-N.jpg,CFD-BM-210-148-N,data/raw/cfd/images/CFD-BM-210-148-N.jpg,BM-210,True,True
BM-213,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-213,CFD-BM-213-134-N.jpg,CFD-BM-213-134-N,data/raw/cfd/images/CFD-BM-213-134-N.jpg,BM-213,True,True
BM-214,M,B,,0.0,,,,,,0.962962963,0.0,0.037037037,0.0,0.0,Black,0.962962963,True,bm-214,CFD-BM-214-075-N.jpg,CFD-BM-214-075-N,data/raw/cfd/images/CFD-BM-214-075-N.jpg,BM-214,True,True
BM-215,M,B,,0.0,,,,,,0.961538462,0.0,0.038461538,0.0,0.0,Black,0.961538462,True,bm-215,CFD-BM-215-155-N.jpg,CFD-BM-215-155-N,data/raw/cfd/images/CFD-BM-215-155-N.jpg,BM-215,True,True
BM-216,M,B,,0.0,,,,,,0.962962963,0.037037037,0.0,0.0,0.0,Black,0.962962963,True,bm-216,CFD-BM-216-088-N.jpg,CFD-BM-216-088-N,data/raw/cfd/images/CFD-BM-216-088-N.jpg,BM-216,True,True
BM-217,M,B,,0.0,,,,,,0.965517241,0.0,0.034482759,0.0,0.0,Black,0.965517241,True,bm-217,CFD-BM-217-082-N.jpg,CFD-BM-217-082-N,data/raw/cfd/images/CFD-BM-217-082-N.jpg,BM-217,True,True
BM-223,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-223,CFD-BM-223-171-N.jpg,CFD-BM-223-171-N,data/raw/cfd/images/CFD-BM-223-171-N.jpg,BM-223,True,True
BM-225,M,B,,0.0,,,,,,0.964285714,0.0,0.035714286,0.0,0.0,Black,0.964285714,True,bm-225,CFD-BM-225-154-N.jpg,CFD-BM-225-154-N,data/raw/cfd/images/CFD-BM-225-154-N.jpg,BM-225,True,True
BM-226,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-226,CFD-BM-226-276-N.jpg,CFD-BM-226-276-N,data/raw/cfd/images/CFD-BM-226-276-N.jpg,BM-226,True,True
BM-227,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-227,CFD-BM-227-191-N.jpg,CFD-BM-227-191-N,data/raw/cfd/images/CFD-BM-227-191-N.jpg,BM-227,True,True
BM-229,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-229,CFD-BM-229-209-N.jpg,CFD-BM-229-209-N,data/raw/cfd/images/CFD-BM-229-209-N.jpg,BM-229,True,True
BM-232,M,B,,0.0,,,,,,0.96,0.0,0.04,0.0,0.0,Black,0.96,True,bm-232,CFD-BM-232-213-N.jpg,CFD-BM-232-213-N,data/raw/cfd/images/CFD-BM-232-213-N.jpg,BM-232,True,True
BM-233,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-233,CFD-BM-233-285-N.jpg,CFD-BM-233-285-N,data/raw/cfd/images/CFD-BM-233-285-N.jpg,BM-233,True,True
BM-236,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-236,CFD-BM-236-248-N.jpg,CFD-BM-236-248-N,data/raw/cfd/images/CFD-BM-236-248-N.jpg,BM-236,True,True
BM-237,M,B,,0.0,,,,,,0.923076923,0.0,0.076923077,0.0,0.0,Black,0.923076923,True,bm-237,CFD-BM-237-188-N.jpg,CFD-BM-237-188-N,data/raw/cfd/images/CFD-BM-237-188-N.jpg,BM-237,True,True
BM-238,M,B,,0.0,,,,,,0.925925926,0.0,0.074074074,0.0,0.0,Black,0.925925926,True,bm-238,CFD-BM-238-242-N.jpg,CFD-BM-238-242-N,data/raw/cfd/images/CFD-BM-238-242-N.jpg,BM-238,True,True
BM-240,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-240,CFD-BM-240-207-N.jpg,CFD-BM-240-207-N,data/raw/cfd/images/CFD-BM-240-207-N.jpg,BM-240,True,True
BM-241,M,B,,0.0,,,,,,0.961538462,0.038461538,0.0,0.0,0.0,Black,0.961538462,True,bm-241,CFD-BM-241-235-N.jpg,CFD-BM-241-235-N,data/raw/cfd/images/CFD-BM-241-235-N.jpg,BM-241,True,True
BM-242,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-242,CFD-BM-242-233-N.jpg,CFD-BM-242-233-N,data/raw/cfd/images/CFD-BM-242-233-N.jpg,BM-242,True,True
BM-244,M,B,,0.0,,,,,,0.956521739,0.0,0.043478261,0.0,0.0,Black,0.956521739,True,bm-244,CFD-BM-244-197-N.jpg,CFD-BM-244-197-N,data/raw/cfd/images/CFD-BM-244-197-N.jpg,BM-244,True,True
BM-245,M,B,,0.0,,,,,,0.956521739,0.0,0.0,0.0,0.043478261,Black,0.956521739,True,bm-245,CFD-BM-245-164-N.jpg,CFD-BM-245-164-N,data/raw/cfd/images/CFD-BM-245-164-N.jpg,BM-245,True,True
BM-246,M,B,,0.0,,,,,,0.958333333,0.041666667,0.0,0.0,0.0,Black,0.958333333,True,bm-246,CFD-BM-246-192-N.jpg,CFD-BM-246-192-N,data/raw/cfd/images/CFD-BM-246-192-N.jpg,BM-246,True,True
BM-247,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-247,CFD-BM-247-240-N.jpg,CFD-BM-247-240-N,data/raw/cfd/images/CFD-BM-247-240-N.jpg,BM-247,True,True
BM-249,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-249,CFD-BM-249-235-N.jpg,CFD-BM-249-235-N,data/raw/cfd/images/CFD-BM-249-235-N.jpg,BM-249,True,True
BM-250,M,B,,0.034482759,,,,,,0.965517241,0.0,0.0,0.0,0.0,Black,0.965517241,True,bm-250,CFD-BM-250-170-N.jpg,CFD-BM-250-170-N,data/raw/cfd/images/CFD-BM-250-170-N.jpg,BM-250,True,True
BM-251,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-251,CFD-BM-251-013-N.jpg,CFD-BM-251-013-N,data/raw/cfd/images/CFD-BM-251-013-N.jpg,BM-251,True,True
BM-252,M,B,,0.0,,,,,,0.961538462,0.0,0.038461538,0.0,0.0,Black,0.961538462,True,bm-252,CFD-BM-252-161-N.jpg,CFD-BM-252-161-N,data/raw/cfd/images/CFD-BM-252-161-N.jpg,BM-252,True,True
BM-253,M,B,,0.0,,,,,,0.916666667,0.0,0.083333333,0.0,0.0,Black,0.916666667,True,bm-253,CFD-BM-253-004-N.jpg,CFD-BM-253-004-N,data/raw/cfd/images/CFD-BM-253-004-N.jpg,BM-253,True,True
LM-204,M,L,,0.0,,,,,,0.0,0.034482759,0.0,0.0,0.965517241,White,0.965517241,True,lm-204,CFD-LM-204-001-N.jpg,CFD-LM-204-001-N,data/raw/cfd/images/CFD-LM-204-001-N.jpg,LM-204,True,True
LM-208,M,L,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,lm-208,CFD-LM-208-110-N.jpg,CFD-LM-208-110-N,data/raw/cfd/images/CFD-LM-208-110-N.jpg,LM-208,True,True
LM-244,M,L,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,lm-244,CFD-LM-244-068-N.jpg,CFD-LM-244-068-N,data/raw/cfd/images/CFD-LM-244-068-N.jpg,LM-244,True,True
LM-251,M,L,,0.0,,,,,,0.0,0.04,0.04,0.0,0.92,White,0.92,True,lm-251,CFD-LM-251-073-N.jpg,CFD-LM-251-073-N,data/raw/cfd/images/CFD-LM-251-073-N.jpg,LM-251,True,True
WM-001,M,W,,0.0,,,,,,0.0,0.0,0.0,0.010752688,0.989247312,White,0.989247312,True,wm-001,CFD-WM-001-014-N.jpg,CFD-WM-001-014-N,data/raw/cfd/images/CFD-WM-001-014-N.jpg,WM-001,True,True
WM-003,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-003,CFD-WM-003-002-N.jpg,CFD-WM-003-002-N,data/raw/cfd/images/CFD-WM-003-002-N.jpg,WM-003,True,True
WM-004,M,W,,0.0,,,,,,0.0,0.0,0.0,0.010752688,0.989247312,White,0.989247312,True,wm-004,CFD-WM-004-010-N.jpg,CFD-WM-004-010-N,data/raw/cfd/images/CFD-WM-004-010-N.jpg,WM-004,True,True
WM-006,M,W,,0.0,,,,,,0.0,0.023255814,0.011627907,0.011627907,0.953488372,White,0.953488372,True,wm-006,CFD-WM-006-002-N.jpg,CFD-WM-006-002-N,data/raw/cfd/images/CFD-WM-006-002-N.jpg,WM-006,True,True
WM-010,M,W,,0.0,,,,,,0.0,0.010752688,0.0,0.021505376,0.967741935,White,0.967741935,True,wm-010,CFD-WM-010-001-N.jpg,CFD-WM-010-001-N,data/raw/cfd/images/CFD-WM-010-001-N.jpg,WM-010,True,True
WM-011,M,W,,0.0,,,,,,0.0,0.011363636,0.0,0.011363636,0.977272727,White,0.977272727,True,wm-011,CFD-WM-011-002-N.jpg,CFD-WM-011-002-N,data/raw/cfd/images/CFD-WM-011-002-N.jpg,WM-011,True,True
WM-012,M,W,,0.0,,,,,,0.0,0.044444444,0.011111111,0.011111111,0.933333333,White,0.933333333,True,wm-012,CFD-WM-012-001-N.jpg,CFD-WM-012-001-N,data/raw/cfd/images/CFD-WM-012-001-N.jpg,WM-012,True,True
WM-013,M,W,,0.0,,,,,,0.0,0.011494253,0.0,0.011494253,0.977011494,White,0.977011494,True,wm-013,CFD-WM-013-001-N.jpg,CFD-WM-013-001-N,data/raw/cfd/images/CFD-WM-013-001-N.jpg,WM-013,True,True
WM-014,M,W,,0.0,,,,,,0.0,0.011904762,0.0,0.011904762,0.976190476,White,0.976190476,True,wm-014,CFD-WM-014-002-N.jpg,CFD-WM-014-002-N,data/raw/cfd/images/CFD-WM-014-002-N.jpg,WM-014,True,True
WM-015,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-015,CFD-WM-015-002-N.jpg,CFD-WM-015-002-N,data/raw/cfd/images/CFD-WM-015-002-N.jpg,WM-015,True,True
WM-016,M,W,,0.0,,,,,,0.0,0.034883721,0.0,0.0,0.965116279,White,0.965116279,True,wm-016,CFD-WM-016-001-N.jpg,CFD-WM-016-001-N,data/raw/cfd/images/CFD-WM-016-001-N.jpg,WM-016,True,True
WM-017,M,W,,0.0,,,,,,0.010638298,0.0,0.0,0.0,0.989361702,White,0.989361702,True,wm-017,CFD-WM-017-002-N.jpg,CFD-WM-017-002-N,data/raw/cfd/images/CFD-WM-017-002-N.jpg,WM-017,True,True
WM-018,M,W,,0.0,,,,,,0.0,0.010869565,0.0,0.0,0.989130435,White,0.989130435,True,wm-018,CFD-WM-018-002-N.jpg,CFD-WM-018-002-N,data/raw/cfd/images/CFD-WM-018-002-N.jpg,WM-018,True,True
WM-020,M,W,,0.011363636,,,,,,0.0,0.022727273,0.0,0.0,0.965909091,White,0.965909091,True,wm-020,CFD-WM-020-001-N.jpg,CFD-WM-020-001-N,data/raw/cfd/images/CFD-WM-020-001-N.jpg,WM-020,True,True
WM-023,M,W,,0.010989011,,,,,,0.0,0.0,0.0,0.0,0.989010989,White,0.989010989,True,wm-023,CFD-WM-023-001-N.jpg,CFD-WM-023-001-N,data/raw/cfd/images/CFD-WM-023-001-N.jpg,WM-023,True,True
WM-024,M,W,,0.012195122,,,,,,0.0,0.024390244,0.012195122,0.024390244,0.926829268,White,0.926829268,True,wm-024,CFD-WM-024-015-N.jpg,CFD-WM-024-015-N,data/raw/cfd/images/CFD-WM-024-015-N.jpg,WM-024,True,True
WM-025,M,W,,0.0,,,,,,0.0,0.011235955,0.0,0.0,0.988764045,White,0.988764045,True,wm-025,CFD-WM-025-002-N.jpg,CFD-WM-025-002-N,data/raw/cfd/images/CFD-WM-025-002-N.jpg,WM-025,True,True
WM-026,M,W,,0.0,,,,,,0.0,0.011627907,0.011627907,0.0,0.976744186,White,0.976744186,True,wm-026,CFD-WM-026-001-N.jpg,CFD-WM-026-001-N,data/raw/cfd/images/CFD-WM-026-001-N.jpg,WM-026,True,True
WM-029,M,W,,0.011494253,,,,,,0.0,0.022988506,0.011494253,0.0,0.954022989,White,0.954022989,True,wm-029,CFD-WM-029-023-N.jpg,CFD-WM-029-023-N,data/raw/cfd/images/CFD-WM-029-023-N.jpg,WM-029,True,True
WM-031,M,W,,0.0,,,,,,0.0,0.011627907,0.0,0.0,0.988372093,White,0.988372093,True,wm-031,CFD-WM-031-003-N.jpg,CFD-WM-031-003-N,data/raw/cfd/images/CFD-WM-031-003-N.jpg,WM-031,True,True
WM-032,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-032,CFD-WM-032-001-N.jpg,CFD-WM-032-001-N,data/raw/cfd/images/CFD-WM-032-001-N.jpg,WM-032,True,True
WM-033,M,W,,0.0,,,,,,0.0,0.0,0.0,0.010989011,0.989010989,White,0.989010989,True,wm-033,CFD-WM-033-025-N.jpg,CFD-WM-033-025-N,data/raw/cfd/images/CFD-WM-033-025-N.jpg,WM-033,True,True
WM-034,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-034,CFD-WM-034-030-N.jpg,CFD-WM-034-030-N,data/raw/cfd/images/CFD-WM-034-030-N.jpg,WM-034,True,True
WM-035,M,W,,0.0,,,,,,0.0,0.032608696,0.0,0.0,0.967391304,White,0.967391304,True,wm-035,CFD-WM-035-032-N.jpg,CFD-WM-035-032-N,data/raw/cfd/images/CFD-WM-035-032-N.jpg,WM-035,True,True
WM-036,M,W,,0.0,,,,,,0.0,0.034883721,0.011627907,0.023255814,0.930232558,White,0.930232558,True,wm-036,CFD-WM-036-031-N.jpg,CFD-WM-036-031-N,data/raw/cfd/images/CFD-WM-036-031-N.jpg,WM-036,True,True
WM-037,M,W,,0.0,,,,,,0.0,0.0,0.0,0.011363636,0.988636364,White,0.988636364,True,wm-037,CFD-WM-037-025-N.jpg,CFD-WM-037-025-N,data/raw/cfd/images/CFD-WM-037-025-N.jpg,WM-037,True,True
WM-038,M,W,,0.0,,,,,,0.0,0.011363636,0.0,0.0,0.988636364,White,0.988636364,True,wm-038,CFD-WM-038-003-N.jpg,CFD-WM-038-003-N,data/raw/cfd/images/CFD-WM-038-003-N.jpg,WM-038,True,True
WM-039,M,W,,0.0,,,,,,0.0,0.0,0.0,0.02247191,0.97752809,White,0.97752809,True,wm-039,CFD-WM-039-018-N.jpg,CFD-WM-039-018-N,data/raw/cfd/images/CFD-WM-039-018-N.jpg,WM-039,True,True
WM-040,M,W,,0.0,,,,,,0.0,0.0,0.0,0.010638298,0.989361702,White,0.989361702,True,wm-040,CFD-WM-040-022-N.jpg,CFD-WM-040-022-N,data/raw/cfd/images/CFD-WM-040-022-N.jpg,WM-040,True,True
WM-200,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-200,CFD-WM-200-034-N.jpg,CFD-WM-200-034-N,data/raw/cfd/images/CFD-WM-200-034-N.jpg,WM-200,True,True
WM-201,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-201,CFD-WM-201-063-N.jpg,CFD-WM-201-063-N,data/raw/cfd/images/CFD-WM-201-063-N.jpg,WM-201,True,True
WM-202,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-202,CFD-WM-202-107-N.jpg,CFD-WM-202-107-N,data/raw/cfd/images/CFD-WM-202-107-N.jpg,WM-202,True,True
WM-203,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-203,CFD-WM-203-023-N.jpg,CFD-WM-203-023-N,data/raw/cfd/images/CFD-WM-203-023-N.jpg,WM-203,True,True
WM-204,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-204,CFD-WM-204-031-N.jpg,CFD-WM-204-031-N,data/raw/cfd/images/CFD-WM-204-031-N.jpg,WM-204,True,True
WM-205,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-205,CFD-WM-205-007-N.jpg,CFD-WM-205-007-N,data/raw/cfd/images/CFD-WM-205-007-N.jpg,WM-205,True,True
WM-206,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-206,CFD-WM-206-045-N.jpg,CFD-WM-206-045-N,data/raw/cfd/images/CFD-WM-206-045-N.jpg,WM-206,True,True
WM-208,M,W,,0.0,,,,,,0.0,0.034482759,0.0,0.0,0.965517241,White,0.965517241,True,wm-208,CFD-WM-208-068-N.jpg,CFD-WM-208-068-N,data/raw/cfd/images/CFD-WM-208-068-N.jpg,WM-208,True,True
WM-209,M,W,,0.0,,,,,,0.0,0.0,0.035714286,0.0,0.964285714,White,0.964285714,True,wm-209,CFD-WM-209-038-N.jpg,CFD-WM-209-038-N,data/raw/cfd/images/CFD-WM-209-038-N.jpg,WM-209,True,True
WM-210,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-210,CFD-WM-210-057-N.jpg,CFD-WM-210-057-N,data/raw/cfd/images/CFD-WM-210-057-N.jpg,WM-210,True,True
WM-211,M,W,,0.0,,,,,,0.0,0.034482759,0.0,0.0,0.965517241,White,0.965517241,True,wm-211,CFD-WM-211-054-N.jpg,CFD-WM-211-054-N,data/raw/cfd/images/CFD-WM-211-054-N.jpg,WM-211,True,True
WM-212,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-212,CFD-WM-212-097-N.jpg,CFD-WM-212-097-N,data/raw/cfd/images/CFD-WM-212-097-N.jpg,WM-212,True,True
WM-213,M,W,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,White,1.0,True,wm-213,CFD-WM-213-076-N.jpg,CFD-WM-213-076-N,data/raw/cfd/images/CFD-WM-213-076-N.jpg,WM-213,True,True
